tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
980088,180,5,Open Tender,Department of Water Resources,2016-2017,
10109549,180,6,Open Tender,Department of Water Resources,2016-2017,
10902095,180,13,Open Tender,Department of Water Resources,2016-2017,
11374362,180,9,Open Tender,Department of Water Resources,2016-2017,
350924,180,2,Open Tender,Department of Water Resources,2016-2017,
22311008,180,9,Open Tender,Department of Water Resources,2016-2017,
12772106,120,5,Open Tender,Industries and Commerce Department,2016-2017,
14409005,180,11,Open Tender,Department of Water Resources,2016-2017,
0,180,0,Open Tender,Assam Police,2016-2017,
35539957,180,4,Open Tender,Department of Water Resources,2016-2017,
15312316,180,14,Open Tender,Department of Water Resources,2016-2017,
12025307,180,7,Open Tender,Department of Water Resources,2016-2017,
28939204,180,6,Open Tender,Department of Water Resources,2016-2017,
20859516,180,9,Open Tender,Department of Water Resources,2016-2017,
12441168,180,10,Open Tender,Department of Water Resources,2016-2017,
12954067,180,9,Open Tender,Department of Water Resources,2016-2017,
10183743,180,8,Open Tender,Department of Water Resources,2016-2017,
11594205,180,10,Open Tender,Department of Water Resources,2016-2017,
15880882,180,13,Open Tender,Department of Water Resources,2016-2017,
19967477,180,12,Open Tender,Department of Water Resources,2016-2017,
0,180,1,Open Tender,Assam Police,2016-2017,
16083696,120,7,Open Tender,Industries and Commerce Department,2016-2017,
0,180,4,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
2925000,120,0,Open Tender,National Health Mission,2016-2017,
29577280,60,9,Open Tender,Public Health Engineering Department,2016-2017,
11425000,60,4,Open Tender,Public Health Engineering Department,2016-2017,
0,180,0,Open Tender,Assam Police,2016-2017,
11640000,60,3,Open Tender,Public Health Engineering Department,2016-2017,
5040758,180,12,Open Tender,Department of Water Resources,2016-2017,
11214668,180,3,Open Tender,Department of Water Resources,2016-2017,
815659,90,12,Open Tender,Department of Water Resources,2016-2017,
